metric,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,Q1FY2026
net_revenue_usdm,219.296,277.472,297.766,254.065,189.757,152.466,22.319
revenue_yoy_pct,,26.5,7.3,-14.7,-25.3,-19.7,-30.5
cost_of_revenue_usdm,106.555,130.810,168.138,149.833,108.693,89.915,16.111
gross_profit_usdm,112.741,146.662,129.628,104.232,81.064,62.551,6.208
gross_margin_pct,51.4,52.9,43.5,41.0,42.7,41.0,27.8
operating_loss_usdm,-29.224,-32.876,-100.285,-153.003,-97.553,-79.962,-22.010
operating_margin_pct,-13.3,-11.8,-33.7,-60.2,-51.4,-52.4,-98.6
net_loss_usdm,-25.860,-45.370,-101.354,-152.458,-93.318,-77.283,-20.724
net_margin_pct,-11.8,-16.4,-34.0,-60.0,-49.2,-50.7,-92.9
diluted_eps_usd,,,,,-11.87,-9.47,-2.37
cfo_usdm,-34.578,-50.850,-90.583,-30.222,-63.860,-55.083,-12.065
capex_usdm,14.350,24.181,31.363,10.870,4.095,3.145,0.072
fcf_usdm,-48.928,-75.031,-121.946,-41.092,-67.955,-58.228,-12.137
fcf_margin_pct,-22.3,-27.0,-41.0,-16.2,-35.8,-38.2,-54.4
cash_and_equiv_usdm,126.551,288.576,167.136,130.032,66.732,26.690,14.397
inventory_net_usdm,59.222,106.876,116.796,57.763,44.121,38.875,37.199
total_assets_usdm,244.043,488.429,462.364,312.705,188.879,109.419,84.729
accounts_payable_usdm,20.236,30.726,12.245,5.851,10.773,17.768,23.195
long_term_debt_usdm,0,0,0,0,0,17.371,17.443
total_liabilities_usdm,65.501,91.425,145.595,127.376,87.194,73.505,68.453
stockholders_equity_usdm,-25.507,397.004,316.769,185.329,101.685,35.914,16.276
net_cash_usdm,126.551,288.576,167.136,130.032,66.732,9.319,-3.046
roe_pct,,-11.4,-32.0,-82.3,-91.8,-215.2,
roa_pct,-10.6,-9.3,-21.9,-48.8,-49.4,-70.6,
inventory_dio_days,203,298,254,141,148,158,
inventory_writedown_usdm,0,0,14.437,8.253,2.686,2.750,0.665
us_revenue_usdm,,,,,143.870,118.621,
intl_revenue_usdm,,,,,45.887,33.845,
wtd_avg_diluted_shares_m,53.005,69.309,148.754,7.584,7.863,8.159,8.737
