fiscal_year_end_jan,revenue_musd,yoy_pct,gross_profit_musd,gross_margin_pct,op_income_musd,op_margin_pct,net_income_musd,net_margin_pct,diluted_eps_usd,ocf_musd,capex_musd,fcf_musd,fcf_margin_pct,fcf_to_ni,da_musd,inventory_musd,inv_pct_rev,receivables_musd,dso_days,cash_equiv_musd,total_cash_and_securities_musd,funded_debt_musd,op_lease_noncurrent_musd,equity_musd,current_ratio,roe_avg_pct,roic_stockanalysis_pct,diluted_shares_m,buybacks_musd,dividends_musd
2017,3545.8,2.9,1244.6,35.1,338.5,9.5,218.1,6.2,1.86,415.3,143.7,271.5,7.7,1.24,135.3,338.6,9.5,,,248.1,,0,,1313.1,2.50,16.6,,117.3,45.8,0
2018,3616.0,2.0,1175.5,32.5,259.9,7.2,108.3,3.0,0.96,303.1,83.8,219.2,6.1,2.03,128.4,351.4,9.7,,,282.2,,0,,1300.9,2.72,8.3,,112.4,157.0,0
2019,3950.6,9.3,1346.7,34.1,381.3,9.7,298.0,7.5,2.72,446.6,114.9,331.7,8.4,1.11,118.0,370.5,9.4,,,358.3,,0,,1489.1,3.11,21.4,,109.7,121.4,0
2020,3983.8,0.8,1239.8,31.1,231.9,5.8,168.1,4.2,1.67,273.9,217.4,56.5,1.4,0.34,112.3,409.5,10.3,,,221.8,,0,1137.5,1455.4,1.65,11.4,,100.6,217.4,0
2021,3449.7,-13.4,861.9,25.0,4.0,0.1,1.2,0.0,0.01,285.8,159.2,126.6,3.7,102.40,103.8,389.6,11.3,,,395.6,,0,1074.0,1477.4,1.35,0.1,,98.5,7.0,0
2022,4548.8,31.9,1494.0,32.8,408.6,9.0,310.6,6.8,3.13,359.3,262.4,96.9,2.1,0.31,105.7,569.7,12.5,63.8,5.1,206.6,446.0,0,951.1,1745.7,1.31,19.3,6.2,99.3,55.8,0
2023,4795.2,5.4,1427.2,29.8,226.6,4.7,159.7,3.3,1.70,142.7,199.5,-56.8,-1.2,-0.36,102.3,587.5,12.3,70.3,5.4,201.3,382.6,0,884.7,1792.7,1.39,9.0,10.1,94.1,112.0,0
2024,5153.2,7.5,1715.4,33.3,369.8,7.2,287.7,5.6,3.05,509.4,199.6,309.8,6.0,1.08,102.5,550.2,10.7,67.0,4.7,178.3,465.1,0,851.9,2112.5,1.29,14.7,12.8,94.3,0.0,0
2025,5550.7,7.7,1926.7,34.7,473.8,8.5,402.5,7.3,4.26,502.8,182.6,320.3,5.8,0.80,115.4,621.1,11.2,74.0,4.9,290.5,610.4,0,871.2,2471.5,1.39,17.6,14.6,94.4,52.3,0
2026,6165.4,11.1,2217.8,36.0,605.6,9.8,464.9,7.5,5.06,575.2,260.2,315.0,5.1,0.68,128.5,700.9,11.4,95.7,5.7,369.2,1157.8,0,1000.1,2815.3,1.51,17.6,14.0,91.8,153.9,0
